INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,UNEMP_RATE,MN_EARN_WNE_P10
Everest University-Orange Park,Orange Park,FL,30.188758,-81.706674,NULL,558,NULL,28125,NULL,3.539999962,29200
Everest Institute-Bissonnet,Houston,TX,29.677344,-95.545008,NULL,785,NULL,NULL,28838,3.809999943,28600
Everest College-McLean,Vienna,VA,38.92832,-77.249411,NULL,149,NULL,28206,NULL,3.390000105,26500
Colegio Tecnico de Electricidad Galloza,Aguada,PR,18.354462,-67.176359,NULL,66,NULL,NULL,9659,9.020000458,PrivacySuppressed
Empire Beauty School-St Paul,Saint Paul,MN,44.950693,-93.019755,NULL,61,NULL,NULL,17376,2.660000086,25800
Arthur's Beauty School Inc-Conway,Conway,AR,35.109134,-92.44599,NULL,85,NULL,NULL,13337,3.869999886,16800
Vatterott College-St Charles,St Charles,MO,38.79131,-90.549431,NULL,396,NULL,23643,NULL,4.340000153,32100
Branford Hall Career Institute-North Brunswick,North Brunswick,NJ,40.467138,-74.444265,NULL,242,NULL,NULL,33892,4.489999771,49200
Spa Tech Institute-Ipswich,Ipswich,MA,42.688622,-70.849391,NULL,37,NULL,NULL,19890,2.690000057,25100
Spa Tech Institute-Westboro,Westboro,MA,42.285984,-71.635686,NULL,90,NULL,NULL,15618,2.690000057,25100
Spa Tech Institute-Plymouth,Plymouth,MA,41.958456,-70.704511,NULL,153,NULL,NULL,16928,2.690000057,25100
Milan Institute of Cosmetology-San Antonio Walzem,San Antonio,TX,29.511567,-98.382865,NULL,153,NULL,NULL,19144,3.660000086,21900
Wards Corner Beauty Academy-Virginia Beach,Virginia Beach,VA,36.857918,-76.174567,NULL,73,NULL,NULL,16646,3.910000086,20200
Neumont University,Salt Lake City,UT,40.76613,-111.890571,NULL,431,NULL,30963,NULL,3.49000001,30700
Johnson & Wales University-Charlotte,Charlotte,NC,35.23294,-80.8509,NULL,2255,NULL,41579,NULL,3.390000105,38800
L'Ecole Culinaire-St Louis,St. Louis,MO,38.635397,-90.392161,NULL,308,NULL,24567,NULL,3.599999905,37000
Roseman University of Health Sciences,Henderson,NV,36.072723,-115.066835,NULL,269,NULL,NULL,NULL,NULL,PrivacySuppressed
Fortis Institute-Port Saint Lucie,Port Saint Lucie,FL,27.3016,-80.303921,NULL,489,NULL,38165,NULL,4.010000229,25400
Fortis Institute-Miami,Miami,FL,25.702403,-80.341022,NULL,26,NULL,25972,NULL,3.789999962,26300
Aviation Institute of Maintenance-Manassas,Manassas,VA,38.79441,-77.514981,NULL,105,NULL,NULL,NULL,2.75999999,PrivacySuppressed
Everest College-North Aurora,North Aurora,IL,41.80011,-88.32608,NULL,70,NULL,NULL,29896,3.940000057,26800
Cosmetology School of Arts and Science LLC,Burley,ID,42.546938,-113.792788,NULL,32,NULL,NULL,20592,3.519999981,PrivacySuppressed
Universal Technical Institute of Pennsylvania Inc,Exton,PA,40.070513,-75.685133,NULL,1623,NULL,NULL,21426,3.50999999,45800
Heritage College-Kansas City,Kansas City,MO,38.939585,-94.576787,NULL,514,NULL,NULL,23303,3.420000076,25500
Kenneth Shuler School of Cosmetology-Spartanburg,Spartanburg,SC,34.923366,-81.972727,NULL,138,NULL,NULL,19602,3.869999886,18600
Kenneth Shuler School of Cosmetology-Columbia,Columbia,SC,34.033295,-81.087657,NULL,119,NULL,NULL,19820,3.869999886,18600
Institute for the Psychological Sciences,Arlington,VA,38.855847,-77.05135,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lincoln Technical Institute-Shelton,Shelton,CT,41.274068,-73.131028,NULL,631,NULL,NULL,22185,3.940000057,43400
Minnesota School of Business-Waite Park,Waite Park,MN,45.55019,-94.23168,NULL,214,NULL,24233,NULL,2.720000029,35200
Northwest Career College,Las Vegas,NV,36.203875,-115.255585,NULL,189,NULL,NULL,16096,4.079999924,PrivacySuppressed
Soma Institute-The National School of Clinical Massage Therapy,Chicago,IL,41.878426,-87.627156,NULL,243,NULL,NULL,NULL,4.929999828,PrivacySuppressed
Xtreme Career Institute,Aguadilla,PR,18.43277,-67.154625,NULL,119,NULL,NULL,9251,9.460000038,PrivacySuppressed
Marinello Schools of Beauty-Niantic,Niantic,CT,41.325944,-72.192653,NULL,260,NULL,NULL,19628,2.960000038,PrivacySuppressed
American Academy of Acupuncture and Oriental Medicine,Roseville,MN,45.015783,-93.181424,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,32.26463,-110.929241,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Ave Maria University,Ave Maria,FL,26.33711,-81.441082,1085,1019,NULL,36539,NULL,2.829999924,PrivacySuppressed
Blue Sky School of Professional Massage and Therapeutic Bodywork,Grafton,WI,43.288154,-87.924273,NULL,72,NULL,NULL,27505,2.589999914,PrivacySuppressed
Buchanan Beauty College,Shelbyville,TN,35.497594,-86.460847,NULL,17,NULL,NULL,10607,2.970000029,PrivacySuppressed
CALC Institute of Technology,Alton,IL,38.927165,-90.175287,NULL,174,NULL,NULL,NULL,3.99000001,PrivacySuppressed
Cambridge Junior College-Yuba City,Yuba City,CA,39.13994,-121.652227,NULL,159,NULL,NULL,23931,PrivacySuppressed,PrivacySuppressed
Cambridge Institute of Allied Health & Technology,Altamonte Springs,FL,28.66336,-81.375821,NULL,188,NULL,NULL,27780,3.299999952,PrivacySuppressed
Career Care Institute,Lancaster,CA,34.678236,-118.15638,NULL,585,NULL,NULL,26802,5.5,PrivacySuppressed
ATA Career Education,Spring Hill,FL,28.45276,-82.595681,NULL,206,NULL,21807,NULL,2.619999886,PrivacySuppressed
Career Quest Learning Centers-Lansing,Lansing,MI,42.699106,-84.53728,NULL,408,NULL,NULL,23854,3.480000019,PrivacySuppressed
Central State Massage Academy,Oklahoma City,OK,35.569792,-97.668551,NULL,48,NULL,NULL,26479,2.869999886,PrivacySuppressed
Community Christian College,Redlands,CA,34.077538,-117.138901,NULL,101,NULL,20728,NULL,4.940000057,PrivacySuppressed
Credence Institute of Beauty,Crossett,AR,33.134128,-91.95981,NULL,18,NULL,NULL,13981,4.21999979,PrivacySuppressed
Culpeper Cosmetology Training Center,Culpeper,VA,38.471472,-77.994978,NULL,48,NULL,NULL,14730,1.850000024,PrivacySuppressed
Day Spa Career College,Ocean Springs,MS,30.409958,-88.762255,NULL,35,NULL,NULL,15155,3.75,PrivacySuppressed
Eastern School of Acupuncture and Traditional Medicine,Bloomfield,NJ,40.79375,-74.196611,NULL,58,NULL,NULL,NULL,3.099999905,PrivacySuppressed
Ecclesia College,Springdale,AR,36.2141,-94.236643,NULL,164,NULL,26336,NULL,3.819999933,PrivacySuppressed
Employment Solutions-College for Technical Education,Lexington,KY,37.982264,-84.483707,NULL,203,NULL,NULL,18865,PrivacySuppressed,PrivacySuppressed
European Massage Therapy School-Skokie,Skokie,IL,42.062353,-87.748037,NULL,64,NULL,NULL,NULL,3.650000095,PrivacySuppressed
Evergreen Beauty and Barber College-Everett,Everett,WA,47.909189,-122.221962,NULL,106,NULL,NULL,17342,3.710000038,PrivacySuppressed
Paul Mitchell the School-Great Lakes,Port Huron,MI,42.976351,-82.45923,NULL,100,NULL,NULL,17649,3.579999924,PrivacySuppressed
Healthcare Training Institute,Union,NJ,40.696406,-74.268447,NULL,76,NULL,NULL,13113,5.489999771,PrivacySuppressed
John D Rockefeller IV Career Center,New Cumberland,WV,40.532417,-80.620645,NULL,20,NULL,12358,NULL,3.559999943,PrivacySuppressed
Los Angeles College of Music,Pasadena,CA,34.139293,-118.150113,NULL,147,NULL,34081,NULL,4.199999809,PrivacySuppressed
Maple Springs Baptist Bible College and Seminary,Capitol Heights,MD,38.86348,-76.942465,NULL,66,NULL,19825,NULL,PrivacySuppressed,NULL
MCI Institute of Technology,West Palm Beach,FL,26.706119,-80.097545,NULL,146,NULL,NULL,27895,4.050000191,PrivacySuppressed
Centura Institute,Orlando,FL,28.615058,-81.423074,NULL,47,NULL,NULL,NULL,3.670000076,PrivacySuppressed
Precision Manufacturing Institute,Meadville,PA,41.641273,-80.157311,NULL,57,NULL,NULL,29753,3.390000105,PrivacySuppressed
Professional Massage Training Center,Springfield,MO,37.229872,-93.291313,NULL,27,NULL,NULL,40457,3.450000048,PrivacySuppressed
Rosslyn Training Academy of Cosmetology,Aguada,PR,18.379502,-67.188709,NULL,37,NULL,10785,NULL,8.920000076,PrivacySuppressed
SAE Institute of Technology-Nashville,Nashville,TN,36.15039,-86.790448,NULL,143,NULL,36407,NULL,3.289999962,PrivacySuppressed
eClips School of Cosmetology and Barbering,Cape Girardeau,MO,37.305615,-89.547135,NULL,83,NULL,NULL,10683,3.900000095,PrivacySuppressed
Shear Academy,Crossville,TN,35.952916,-85.03524,NULL,28,NULL,NULL,12629,2.960000038,PrivacySuppressed
Southern Technical College,Orlando,FL,28.44863,-81.399681,NULL,1445,NULL,NULL,25992,3.5,PrivacySuppressed
Stanbridge College,Irvine,CA,33.678879,-117.857636,NULL,1073,NULL,NULL,28605,2.789999962,PrivacySuppressed
Styletrends Barber and Hairstyling Academy,Rock Hill,SC,34.923083,-81.028029,NULL,45,NULL,NULL,12679,5.409999847,PrivacySuppressed
Universal Career School,Sweetwater,FL,25.767485,-80.370195,NULL,137,NULL,NULL,25515,4.320000172,PrivacySuppressed
Universal College of Healing Arts,Omaha,NE,41.339162,-95.961539,NULL,14,NULL,25786,NULL,2.74000001,PrivacySuppressed
Uta Mesivta of Kiryas Joel,Monroe,NY,41.335099,-74.161452,NULL,1634,NULL,16516,NULL,3.869999886,PrivacySuppressed
Harrisburg University of Science and Technology,Harrisburg,PA,40.261303,-76.8808,NULL,304,NULL,27300,NULL,NULL,PrivacySuppressed
The Art Institute of Ohio-Cincinnati,Cincinnati,OH,39.288802,-84.317882,NULL,660,NULL,30813,NULL,3.680000067,37300
Stevens-Henager College,Logan,UT,41.718039,-111.835961,NULL,111,NULL,29179,NULL,3.569999933,33600
University of Phoenix-Iowa,Des Moines,IA,41.58666,-93.624531,NULL,30,NULL,NULL,NULL,3.809999943,58400
Blue Ridge Community and Technical College,Martinsburg,WV,39.437618,-78.002846,NULL,2138,NULL,12461,NULL,2.930000067,PrivacySuppressed
Sanford-Brown College-Las Vegas,Henderson,NV,36.022328,-115.096605,NULL,283,NULL,21924,NULL,3.349999905,30800
Sanford-Brown College-Seattle,Tukwila,WA,47.450291,-122.255062,NULL,299,NULL,22748,NULL,3.349999905,30800
International Academy of Design and Technology-Nashville,Nashville,TN,36.21922,-86.697651,NULL,24,NULL,NULL,NULL,3.940000057,30400
Le Cordon Bleu College of Culinary Arts-Miami,Miramar,FL,25.978457,-80.288087,NULL,789,NULL,20930,NULL,3.819999933,36600
Le Cordon Bleu College of Culinary Arts-Minneapolis,Mendota Heights,MN,44.865985,-93.160095,NULL,491,NULL,19953,NULL,3.640000105,32200
Career Technical College-Shreveport,Shreveport,LA,32.485049,-93.70316,NULL,303,NULL,23432,NULL,5.21999979,22900
ITT Technical Institute-Kansas City,Kansas City,MO,39.04798,-94.474973,NULL,231,NULL,28016,NULL,4.71999979,42800
ITT Technical Institute-Kennesaw,Kennesaw,GA,34.03714,-84.58903,NULL,383,NULL,28927,NULL,4.71999979,42800
ITT Technical Institute-Owings Mills,Owings Mills,MD,39.429896,-76.812747,NULL,555,NULL,27353,NULL,3.559999943,42800
ITT Technical Institute-Warrensville Heights,Warrensville Heights,OH,41.435166,-81.503483,NULL,406,NULL,28196,NULL,4.03000021,42800
Union Graduate College,Schenectady,NY,42.816692,-73.92838,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Chambersburg Beauty School,Chambersburg,PA,39.935077,-77.665359,NULL,71,NULL,NULL,18519,2.440000057,16400
Daytona College,Ormond Beach,FL,29.270088,-81.080155,NULL,276,NULL,NULL,22390,3.430000067,PrivacySuppressed
Delta Technical College,Horn Lake,MS,34.95615,-90.00705,NULL,662,NULL,NULL,26886,3.75,33100
United States University,Chula Vista,CA,32.61718,-117.092771,NULL,274,NULL,16676,NULL,3.880000114,PrivacySuppressed
Westwood College-Arlington Ballston,Arlington,VA,38.88178,-77.114401,NULL,344,NULL,32010,NULL,5.78000021,35100
Brightwood College-Bakersfield,Bakersfield,CA,35.337339,-119.03794,NULL,387,NULL,NULL,25638,5.980000019,28400
Brightwood College-Fresno,Clovis,CA,36.807193,-119.708287,NULL,264,NULL,NULL,26786,7.269999981,22000
Empire Beauty School-Avondale,Avondale,AZ,33.464237,-112.273076,NULL,193,NULL,NULL,16118,3.160000086,22200
Empire Beauty School-Littleton,Littleton,CO,39.608128,-105.097089,NULL,76,NULL,NULL,16979,2.609999895,22800
Empire Beauty School-Aurora,Aurora,CO,39.695935,-104.792572,NULL,138,NULL,NULL,18357,2.609999895,22800
Everest Institute-Gahanna,Gahanna,OH,39.998935,-82.852716,NULL,405,NULL,NULL,30013,4.019999981,25800
Everest College-Merrionette Park,Merrionette Park,IL,41.683089,-87.701912,NULL,337,NULL,NULL,30510,4.340000153,30100
Everest College-Earth City,Earth City,MO,38.758834,-90.458969,NULL,185,NULL,NULL,30322,4.340000153,28800
Everest College-Mesa,Mesa,AZ,33.379938,-111.714531,NULL,270,NULL,23805,NULL,3.670000076,29900
Everest Institute-Silver Spring,Silver Spring,MD,38.998685,-77.030388,NULL,186,NULL,NULL,31148,4.360000134,25300
Alvareitas College of Cosmetology-Belleville,Belleville,IL,38.545956,-90.032984,NULL,13,NULL,NULL,15921,3.279999971,PrivacySuppressed
AmeriTech College-Draper,Draper,UT,40.527932,-111.892792,NULL,464,NULL,31065,NULL,3.119999886,26900
Argosy University-Los Angeles,Los Angeles,CA,33.927857,-118.373038,NULL,297,NULL,26169,NULL,4.130000114,41300
Brown Mackie College-Miami,Miramar,FL,25.97425,-80.349751,NULL,919,NULL,25864,NULL,3.809999943,30300
Regency Beauty Institute-Darien,Darien,IL,41.753245,-87.971946,NULL,50,NULL,NULL,21135,2.670000076,24400
Regency Beauty Institute-Aurora,Aurora,IL,41.764929,-88.209203,NULL,84,NULL,NULL,21687,2.670000076,24400
Regency Beauty Institute-Madison,Madison,WI,43.12948,-89.295202,NULL,69,NULL,NULL,24062,2.670000076,24400
Regency Beauty Institute-Ridgedale,Minnetonka,MN,44.968179,-93.446076,NULL,43,NULL,NULL,23732,2.670000076,24400
Fortis College-Largo,Largo,FL,27.89481,-82.727384,NULL,207,NULL,26230,NULL,3.75,22600
Platt College-Moore,Moore,OK,35.339154,-97.478449,NULL,94,NULL,NULL,29845,3.279999971,23500
Universal Technical Institute of Massachusetts Inc,Norwood,MA,42.207644,-71.201408,NULL,1009,NULL,NULL,21257,3.779999971,45700
Eagle Gate College-Layton,Layton,UT,41.073341,-111.974385,NULL,210,NULL,28878,NULL,3.670000076,32700
Carsten Institute of Cosmetology,New York,NY,40.75189,-73.980311,NULL,115,NULL,NULL,17359,3.400000095,24700
Academy of Hair Design-Jasper,Jasper,TX,30.908202,-94.006928,NULL,59,NULL,NULL,12591,3.670000076,18000
Expression College for Digital Arts,Emeryville,CA,37.847631,-122.2954,NULL,445,NULL,31795,NULL,3.609999895,PrivacySuppressed
Unitech Training Academy-West Monroe,West Monroe,LA,32.506463,-92.129419,NULL,106,NULL,NULL,26057,5.110000134,PrivacySuppressed
Daymar College-Bellevue,Bellevue,KY,39.084046,-84.481993,NULL,29,NULL,27588,NULL,3.529999971,24500
Salter School-Fall River,Fall River,MA,41.69847,-71.153315,NULL,232,NULL,NULL,30244,3.539999962,29600
Seacoast Career School-Manchester Campus,Manchester,NH,42.997766,-71.468777,NULL,291,NULL,NULL,29514,2.599999905,24500
Instituto de Educacion Tecnica Ocupacional La Reine-Aguadilla,Aguadilla,PR,18.430546,-67.155035,NULL,150,NULL,NULL,12069,8.859999657,15800
New River Community and Technical College,Beaver,WV,37.767591,-81.136033,NULL,1729,NULL,9713,NULL,4.360000134,PrivacySuppressed
The College of Health Care Professions-Southwest Houston,Houston,TX,29.70138,-95.517381,NULL,217,NULL,NULL,27796,4.380000114,30400
Eagle Gate College-Salt Lake City,Salt Lake City,UT,40.760084,-111.890674,NULL,99,NULL,24172,NULL,3.670000076,32700
Brightwood College-Palm Springs,Palm Springs,CA,33.821901,-116.519222,NULL,379,NULL,NULL,26282,3.710000038,32100
Minnesota School of Business-Rochester,Rochester,MN,44.071382,-92.499491,NULL,177,NULL,26420,NULL,NULL,35200
Georgia Gwinnett College,Lawrenceville,GA,33.979915,-84.001135,NULL,10387,NULL,16039,NULL,NULL,PrivacySuppressed
Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,33.52289,-112.068783,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tucson College of Beauty,Tucson,AZ,32.278252,-110.996112,NULL,56,NULL,NULL,17420,NULL,PrivacySuppressed
California Career College,Canoga Park,CA,34.197566,-118.601794,NULL,94,NULL,NULL,NULL,NULL,PrivacySuppressed
Palladium Technical Academy,Temple City,CA,34.0919,-118.043641,NULL,48,NULL,NULL,19481,NULL,PrivacySuppressed
Palace Beauty College,Los Angeles,CA,34.044739,-118.309491,NULL,148,NULL,NULL,18000,NULL,PrivacySuppressed
National Polytechnic College,Commerce,CA,33.989841,-118.138914,NULL,198,NULL,NULL,17189,NULL,PrivacySuppressed
American Career College-Ontario,Ontario,CA,34.068204,-117.583814,NULL,1483,NULL,NULL,26080,NULL,PrivacySuppressed
Asher College,Sacramento,CA,38.587784,-121.415767,NULL,716,NULL,NULL,27496,NULL,PrivacySuppressed
American Institute of Massage Therapy,Santa Ana,CA,33.715851,-117.85027,NULL,38,NULL,NULL,13420,NULL,PrivacySuppressed
University of East-West Medicine,Sunnyvale,CA,37.3864,-121.997011,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Blake Austin College,Vacaville,CA,38.378548,-121.945606,NULL,312,NULL,NULL,27460,NULL,PrivacySuppressed
Aviator College of Aeronautical Science and Technology,Fort Pierce,FL,27.484379,-80.354456,NULL,176,NULL,79212,NULL,NULL,NULL
Trendsetters School of Beauty & Barbering,Jacksonville,FL,30.31195,-81.717211,NULL,30,NULL,NULL,20270,NULL,PrivacySuppressed
CDA Technical Institute,Jacksonville,FL,30.39253,-81.646881,NULL,190,NULL,NULL,30406,NULL,PrivacySuppressed
American Institute of Beauty,Largo,FL,27.915072,-82.749094,NULL,50,NULL,NULL,17512,NULL,PrivacySuppressed
North Florida Cosmetology Institute Inc,Tallahassee,FL,30.476972,-84.294583,NULL,139,NULL,NULL,22270,NULL,PrivacySuppressed
Florida Academy of Health & Beauty,Oakland Park,FL,26.166,-80.184261,NULL,31,NULL,NULL,15439,NULL,PrivacySuppressed
Augusta School of Massage,Evans,GA,33.529159,-82.135503,NULL,48,NULL,NULL,11013,NULL,PrivacySuppressed
ATA College,Louisville,KY,38.224038,-85.566577,NULL,439,NULL,24613,NULL,NULL,PrivacySuppressed
SUM Bible College and Theological Seminary,Oakland,CA,37.734083,-122.177765,NULL,463,NULL,27001,NULL,NULL,PrivacySuppressed
Compass Career College,Hammond,LA,30.476713,-90.479708,NULL,166,NULL,NULL,20129,NULL,PrivacySuppressed
Hair Expressions Academy,Rockville,MD,39.061372,-77.115852,NULL,149,NULL,NULL,15997,NULL,PrivacySuppressed
Nuvo College of Cosmetology,Norton Shores,MI,43.190772,-86.266444,NULL,114,NULL,NULL,12507,NULL,PrivacySuppressed
WellSpring School of Allied Health-Kansas City,Kansas City,MO,38.963226,-94.604997,NULL,133,NULL,NULL,29816,NULL,PrivacySuppressed
Hair Academy 110,Kirksville,MO,40.195107,-92.582872,NULL,21,NULL,NULL,12107,NULL,PrivacySuppressed
Healing Touch Career College,Hattiesburg,MS,31.31949,-89.349851,NULL,34,NULL,NULL,26740,NULL,PrivacySuppressed
The Salon Professional Academy-Fargo,Fargo,ND,46.859013,-96.858729,NULL,103,NULL,NULL,16365,NULL,PrivacySuppressed
Massage Therapy Trainining Institute,Las Cruces,NM,32.31086,-106.781891,NULL,60,NULL,NULL,14036,NULL,PrivacySuppressed
Institute of Professional Careers,Las Vegas,NV,36.108304,-115.118724,NULL,19,NULL,NULL,17920,NULL,PrivacySuppressed
Aveda Institute-New York,New York,NY,40.725813,-74.004832,NULL,229,NULL,NULL,25933,NULL,PrivacySuppressed
Northwest Regional Technology Institute,Erie,PA,42.10742,-80.070912,NULL,18,NULL,NULL,18225,NULL,PrivacySuppressed
National Massage Therapy Institute,Philadelphia,PA,40.106074,-75.002192,NULL,138,NULL,NULL,30849,NULL,PrivacySuppressed
MyrAngel Beauty Institute,San Lorenzo,PR,18.189564,-65.960889,NULL,108,NULL,NULL,15005,NULL,PrivacySuppressed
Institute of Hair Design,Adamsville,TN,35.243294,-88.392488,NULL,33,NULL,NULL,15256,NULL,PrivacySuppressed
Tennessee Career Institute,Columbia,TN,35.599771,-87.077912,NULL,90,NULL,NULL,15745,NULL,PrivacySuppressed
Texas Health School,Houston,TX,29.78349,-95.57971,NULL,92,NULL,NULL,19871,NULL,PrivacySuppressed
Mai-trix Beauty College,Houston,TX,29.847357,-95.5035,NULL,47,NULL,NULL,9704,NULL,PrivacySuppressed
North West Beauty School,Houston,TX,29.861205,-95.472972,NULL,40,NULL,NULL,18989,NULL,PrivacySuppressed
Careers Unlimited,Orem,UT,40.274853,-111.7314,NULL,177,NULL,NULL,NULL,NULL,PrivacySuppressed
Mountainland Applied Technology College,Lehi,UT,40.420221,-111.88568,NULL,1056,NULL,NULL,NULL,NULL,PrivacySuppressed
Avi Career Training,Great Falls,VA,38.974292,-77.296726,NULL,21,NULL,NULL,24678,NULL,PrivacySuppressed
Mountain State School of Massage,Charleston,WV,38.317541,-81.579594,NULL,26,NULL,NULL,24151,NULL,PrivacySuppressed
Doane University-Graduate and Professional Studies,Lincoln,NE,40.815541,-96.650758,NULL,656,NULL,19715,NULL,NULL,46700
Shorter University-College of Adult & Professional Programs,Marietta,GA,33.92764,-84.482301,NULL,677,NULL,31636,NULL,NULL,48500
The Art Institute of Indianapolis,Indianapolis,IN,39.920272,-86.221906,NULL,834,NULL,27320,NULL,NULL,30300
Eastern International College-Belleville,Belleville,NJ,40.76388,-74.220373,NULL,216,NULL,24716,NULL,NULL,35000
MedTech College,Indianapolis,IN,39.891791,-86.053187,NULL,529,NULL,NULL,26710,NULL,37800
Broken Arrow Beauty College-Tulsa,Tulsa,OK,36.060356,-95.852824,NULL,69,NULL,NULL,17490,NULL,21100
Universal Technical Institute of Northern California Inc,Sacramento,CA,38.64575,-121.529503,NULL,1804,NULL,NULL,21939,NULL,37000
ITT Technical Institute-Charlotte South,Charlotte,NC,35.182074,-80.921103,NULL,319,NULL,28098,NULL,NULL,42800
ITT Technical Institute-Clovis,Clovis,CA,36.836556,-119.701347,NULL,395,NULL,27371,NULL,NULL,42800
ITT Technical Institute-Dunmore,Dunmore,PA,41.415296,-75.615453,NULL,171,NULL,26647,NULL,NULL,42800
ITT Technical Institute-Swartz Creek,Swartz Creek,MI,42.96569,-83.801977,NULL,370,NULL,26580,NULL,NULL,42800
ITT Technical Institute-Lexington,Lexington,KY,38.008887,-84.430416,NULL,348,NULL,28009,NULL,NULL,42800
ITT Technical Institute-Maumee,Maumee,OH,41.611157,-83.689131,NULL,195,NULL,27266,NULL,NULL,42800
ITT Technical Institute-Oklahoma City,Oklahoma City,OK,35.522152,-97.545276,NULL,330,NULL,28383,NULL,NULL,42800
ITT Technical Institute-Tulsa,Tulsa,OK,36.09958,-95.838251,NULL,471,NULL,27362,NULL,NULL,42800
University of Phoenix-South Carolina,Columbia,SC,34.098845,-80.955852,NULL,487,NULL,23291,NULL,NULL,58400
Argosy University-The Art Institute of California-Inland Empire,San Bernardino,CA,34.07184,-117.270681,NULL,1974,NULL,31948,NULL,NULL,41300
National American University-Zona Rosa,Kansas City,MO,38.967346,-94.500869,NULL,382,NULL,19134,NULL,NULL,41200
West Hills College-Lemoore,Lemoore,CA,36.292431,-119.823866,NULL,3719,NULL,12436,NULL,NULL,PrivacySuppressed
Stautzenberger College-Brecksville,Brecksville,OH,41.288779,-81.643206,NULL,307,NULL,23968,NULL,NULL,29900
Stone Academy-East Hartford,East Hartford,CT,41.779013,-72.606686,NULL,332,NULL,NULL,21483,NULL,24400
Westwood College-Annandale,Annandale,VA,38.832088,-77.209797,NULL,264,NULL,31553,NULL,NULL,35100
Unitech Training Academy-Houma,Houma,LA,29.57781,-90.688353,NULL,55,NULL,NULL,24145,NULL,PrivacySuppressed
Miller-Motte Technical College-Madison,Madison,TN,36.28769,-86.703281,NULL,319,NULL,24785,NULL,NULL,25100
Rasmussen College-Illinois,Rockford,IL,42.267628,-88.998854,NULL,1564,NULL,22233,NULL,NULL,33100
Educational Technical College-Recinto de Coamo,Coamo,PR,18.081816,-66.364369,NULL,226,NULL,NULL,11282,NULL,17300
Educational Technical College-Recinto de san Sebastian,San Sebastian,PR,18.338411,-66.988634,NULL,237,NULL,NULL,10428,NULL,17300
Argosy University-Denver,Denver,CO,39.65615,-104.901681,NULL,125,NULL,24368,NULL,NULL,41300
CollegeAmerica-Colorado Springs,Colorado Springs,CO,38.840858,-104.760241,NULL,350,NULL,29366,NULL,NULL,28000
CollegeAmerica-Fort Collins,Fort Collins,CO,40.568371,-105.092393,NULL,133,NULL,28656,NULL,NULL,28000
Automotive Training Center-Warminster,Warminster,PA,40.199795,-75.073578,NULL,319,NULL,NULL,17509,NULL,43400
Empire Beauty School-Milwaukee,Milwaukee,WI,42.94256,-87.950452,NULL,93,NULL,NULL,17141,NULL,16400
The Robert B Miller College,Battle Creek,MI,42.333225,-85.178861,NULL,239,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Phoenix-Connecticut,Norwalk,CT,41.09697,-73.443992,NULL,19,NULL,NULL,NULL,NULL,58400
University of South Florida-St Petersburg,St. Petersburg,FL,27.762618,-82.635657,1162,3829,NULL,18325,NULL,NULL,45200
Triangle Tech Inc-Bethlehem,Bethlehem,PA,40.65445,-75.428281,NULL,110,NULL,26562,NULL,NULL,43300
Arizona State University-Downtown Phoenix,Phoenix,AZ,33.45343,-112.073231,1083,9113,NULL,23298,NULL,NULL,NULL
Milan Institute-Clovis,Clovis,CA,36.808536,-119.724891,NULL,351,NULL,NULL,19678,NULL,17700
Branford Hall Career Institute-Albany Campus,Albany,NY,42.743118,-73.84048,NULL,309,NULL,NULL,30900,NULL,29000
Harris School of Business-Linwood Campus,Linwood,NJ,39.348058,-74.580524,NULL,357,NULL,NULL,28079,NULL,28300
The Art Institute of Tennessee-Nashville,Nashville,TN,36.154574,-86.635403,NULL,822,NULL,31898,NULL,NULL,35300
Strayer University-Florida,Tampa,FL,27.99004,-82.548221,NULL,1919,NULL,32064,NULL,NULL,55200
Pima Medical Institute-Renton,Renton,WA,47.469017,-122.211383,NULL,777,NULL,NULL,22797,NULL,29800
College of Business and Technology-Flagler,Miami,FL,25.769052,-80.329161,NULL,364,NULL,26366,NULL,NULL,24300
College of Business and Technology-Hialeah,Hialeah,FL,25.867003,-80.302213,NULL,285,NULL,20676,NULL,NULL,24300
Miller-Motte College-Cary,Cary,NC,35.755124,-78.740708,NULL,316,NULL,23979,NULL,NULL,20400
Miami-Jacobs Career College-Springboro,Springboro,OH,39.560771,-84.253242,NULL,154,NULL,25294,NULL,NULL,28700
Dewey University-Juana DÍaz,Juana Diaz,PR,18.060017,-66.508864,NULL,340,NULL,12964,NULL,NULL,19100
Dewey University-Fajardo,Fajardo,PR,18.329214,-65.650722,NULL,192,NULL,13344,NULL,NULL,19100
Dewey University-Arroyo,Arroyo,PR,17.974419,-66.051963,NULL,145,NULL,13080,NULL,NULL,19100
