INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
Reid State Technical College,Evergreen,AL,36401,1,1,2,1,1,5,31.46071,-86.964486,8,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,425,706,3799,NULL,NULL,NULL,9158,NULL,4320,7710,NULL,1888,0.3132,25.3575,4.710000038,169,451,24500,20100,94,319,23800,20100,273,46,PrivacySuppressed,97,124,168,473,22200,17800,132,404,24900,20900,153,464,23700,16900,2
Bishop State Community College,Mobile,AL,36603-5898,1,2,2,1,1,5,30.693972,-88.056982,8,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2927,4058,4805,NULL,NULL,NULL,9955,NULL,4260,7650,NULL,1494,0.465,25.01378205,5.159999847,601,2009,26500,21800,294,1305,22300,18400,1115,189,PrivacySuppressed,557,572,490,2140,23600,18100,515,1873,24300,19400,519,1872,26700,20200,2
Samford University,Birmingham,AL,35229-2240,1,3,4,2,1,5,33.464578,-86.790932,18,14,14,0.5954,565,558,555,26,27,24,NULL,1165,3033,2870,NULL,26733,NULL,NULL,40900,NULL,27324,27324,NULL,18352,0.8377,21.24648787,2.680000067,90,767,57000,45800,40,507,41600,36300,125,122,260,71,415,63,622,46500,49000,81,654,49200,41600,91,763,58100,46700,1
Selma University,Selma,AL,36701,1,3,4,2,1,5,32.420358,-87.033826,24,7,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,472,472,NULL,9459,NULL,NULL,12621,NULL,6680,6680,NULL,7596,0.4389,25.82325581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Shelton State Community College,Tuscaloosa,AL,35405-8522,1,2,2,1,1,5,33.120531,-87.56148,8,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4755,5330,8924,NULL,NULL,NULL,13426,NULL,3960,7350,NULL,2132,0.3576,22.94962753,4.019999981,451,1874,28300,24700,273,1417,23500,20100,1097,313,PrivacySuppressed,627,845,435,1846,24700,18300,422,1779,26600,22700,426,1722,26900,20700,2
Snead State Community College,Boaz,AL,35957-0734,1,2,2,1,1,5,34.201247,-86.169479,1,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2098,1579,4743,NULL,NULL,NULL,10376,NULL,4320,7710,NULL,2171,0.6938,23.92621576,3.460000038,155,589,29600,26500,137,642,24800,21300,478,164,PrivacySuppressed,199,258,145,672,25600,17500,179,697,27700,25800,147,580,28000,20900,2
University of South Alabama,Mobile,AL,36688-0002,1,3,4,1,1,5,30.695081,-88.18189,16,13,16,0.8335,510,518,485,23,24,22,7,1048,11267,9232,14327,NULL,NULL,NULL,18525,NULL,7188,14076,NULL,7295,0.6637,22.46953264,3.900000095,468,2939,44100,37300,291,2555,33900,30200,1180,687,688,454,1526,370,2645,37300,28400,417,2789,39300,33200,386,2712,43300,40500,1
Spring Hill College,Mobile,AL,36608-1791,1,3,4,2,1,5,30.694751,-88.138199,21,14,11,0.5177,535,538,NULL,25,25,23,NULL,1116,1215,1227,NULL,19713,NULL,NULL,44970,NULL,32468,32468,NULL,12082,0.8498,20.0481203,3.569999933,52,390,49400,42800,34,352,37000,34600,92,110,150,57,299,32,355,36000,21400,39,387,39400,37600,42,364,46600,29700,1
Southeastern Bible College,Birmingham,AL,35244-2083,1,3,3,2,1,5,33.378935,-86.749045,24,9,7,1,NULL,NULL,NULL,20,21,18,NULL,930,170,52,NULL,13536,NULL,NULL,17066,NULL,11370,11370,NULL,10634,0.2821,32.85321101,3.039999962,PrivacySuppressed,86,36500,30300,PrivacySuppressed,61,32200,29500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,30,23,90,29400,18700,PrivacySuppressed,108,31900,29400,26,71,36400,30000,1
Stillman College,Tuscaloosa,AL,35401,1,3,3,2,1,5,33.199228,-87.585242,21,11,8,0.5901,448,424,NULL,17,16,16,NULL,811,1056,1530,NULL,17002,NULL,NULL,26185,NULL,15865,15865,NULL,21345,0.6524,21.00505051,4.809999943,98,604,27900,25700,40,293,23100,19800,173,68,52,148,255,70,453,23800,17500,58,398,28700,23300,119,631,26700,21200,1
Talladega College,Talladega,AL,35160,1,3,3,2,1,5,33.434258,-86.113675,22,10,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,819,475,NULL,12629,NULL,NULL,20918,NULL,12509,12509,NULL,18039,0.7747,21.08,5.199999809,40,193,26400,25100,26,178,20600,17900,116,54,PrivacySuppressed,68,148,23,124,20900,13200,28,148,19600,17600,44,195,26300,16400,1
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,1,1,2,1,1,5,32.350109,-86.343057,8,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1230,663,6157,NULL,NULL,NULL,9912,NULL,3336,6048,NULL,2493,0.3983,26.40617577,4.349999905,223,694,27400,23100,136,614,21900,18800,504,110,PrivacySuppressed,152,207,187,836,25900,20100,143,579,25400,21800,111,345,25900,20600,2
Troy University,Troy,AL,36082-0001,4,3,4,1,1,5,31.800128,-85.950191,18,5,16,0.4414,NULL,NULL,NULL,23,23,21,NULL,1050,15025,3810,11907,NULL,NULL,NULL,17354,NULL,7564,14092,NULL,8632,0.4643,27.48690946,3.849999905,560,3404,38800,35600,631,4632,32500,29300,2329,1451,852,557,1660,530,3599,35900,24100,801,4829,37100,33600,485,3053,38800,30000,1
Tuskegee University,Tuskegee,AL,36088-1920,1,3,4,2,1,5,32.431021,-85.710315,20,12,14,0.4922,455,465,NULL,22,20,20,NULL,978,2588,2467,NULL,29242,NULL,NULL,32853,NULL,19570,19570,NULL,14104,0.9188,19.75340272,4.849999905,105,931,41600,36800,55,656,31500,25800,263,233,160,198,606,87,664,33900,23600,80,673,37100,30700,81,800,40100,27300,1
United States Sports Academy,Daphne,AL,36526-7055,1,3,4,2,1,5,30.639329,-87.91163,32,5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14687,NULL,30.02,3.549999952,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,68,42600,38500,32,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,26,PrivacySuppressed,PrivacySuppressed,1
Bevill State Community College,Jasper,AL,35501,1,2,2,1,1,5,33.835785,-87.265034,8,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3210,3558,7848,NULL,NULL,NULL,13084,NULL,4290,7680,NULL,1961,0.5087,23.64777328,3.829999924,699,2080,29800,25900,386,1444,25400,22100,1091,344,PrivacySuppressed,461,682,542,1778,26600,19200,497,1686,27700,24900,529,1532,28300,21100,2
University of Alaska Anchorage,Anchorage,AK,99508,1,3,4,1,2,8,61.189554,-149.826135,18,5,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12865,14161,8661,NULL,NULL,NULL,13610,NULL,5494,16466,NULL,5843,0.4617,25.12621155,5.21999979,517,2339,46600,42500,369,2401,40000,35300,975,767,659,241,1148,442,2372,41900,29300,516,2489,45800,39800,451,1977,44500,31000,1
Alaska Bible College,Palmer,AK,99645,1,3,3,2,2,8,61.59843,-149.111341,24,10,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,27,NULL,11621,NULL,NULL,15990,NULL,9300,9300,NULL,8132,0.6087,21.71428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,1,3,4,1,2,8,64.856483,-147.822943,16,9,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5536,6359,9188,NULL,NULL,NULL,15340,NULL,5246,16238,NULL,6491,0.3511,25.78902148,6.559999943,240,1145,41500,36200,182,968,35700,30600,425,299,244,123,495,236,1128,36800,27100,247,1148,40200,34200,199,1043,41600,33100,1
University of Alaska Southeast,Juneau,AK,99801-8697,1,1,4,1,2,8,58.38427,-134.636346,19,5,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1428,3353,8971,NULL,NULL,NULL,15284,NULL,5901,16705,NULL,6117,0.2139,26.71254355,5.21999979,74,364,39200,37400,70,339,32300,29600,149,104,86,24,144,71,371,35000,24400,79,361,34700,33000,62,305,38600,26400,1
Alaska Pacific University,Anchorage,AK,99508,1,3,4,2,2,8,61.191235,-149.804242,20,9,7,0.4207,555,503,530,23,20,21,NULL,1054,275,479,NULL,25616,NULL,NULL,42640,NULL,19610,19610,NULL,13383,0.1395,26.45528455,4.71999979,31,142,50400,47000,PrivacySuppressed,157,38700,36800,50,54,53,18,71,26,151,39500,28700,PrivacySuppressed,151,39700,38200,15,145,48800,40500,1
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,1,1,2,1,2,8,60.110727,-149.444573,10,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,889,210,NULL,NULL,5296,NULL,NULL,NULL,NULL,NULL,1320,4340,NULL,26.79310345,8.420000076,46,123,42100,33500,32,152,33400,26500,95,34,PrivacySuppressed,24,56,35,167,38300,30800,35,166,40600,35400,25,91,39100,37500,2
Charter College-Anchorage,Anchorage,AK,99508,1,1,3,3,2,8,61.195786,-149.840178,23,11,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3256,486,NULL,27226,NULL,NULL,30854,NULL,19532,19532,NULL,8755,NULL,28.65056242,4.920000076,77,337,43700,39200,81,304,32500,31000,128,109,67,PrivacySuppressed,57,66,300,39900,29800,82,335,40200,35100,87,338,46300,34800,1
Alaska Career College,Anchorage,AK,99507-1033,1,1,2,3,2,8,61.181443,-149.856954,13,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,479,429,NULL,16474,12779,NULL,NULL,19659,NULL,NULL,14290,11905,NULL,27.16057441,5.53000021,113,295,30600,28700,101,434,26400,26600,274,112,48,31,93,101,292,27600,22700,108,307,28400,28000,91,297,29600,21800,2
Everest College-Phoenix,Phoenix,AZ,85021-1641,2,1,3,3,4,6,33.580985,-112.113845,23,5,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4102,154,NULL,21742,NULL,26316,26404,NULL,12204,12204,NULL,13130,NULL,30.67933967,3.670000076,147,542,29900,28600,521,1602,24200,22500,1027,441,134,123,266,161,611,28500,18100,212,732,28300,26900,99,335,29100,19700,1
Collins College,Phoenix,AZ,85040,4,3,3,3,4,6,33.40334,-111.98646,30,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,5833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33714,NULL,24.88425926,3.829999924,472,1912,30400,25700,440,2462,23800,21200,1280,642,540,556,1499,598,2377,26800,21000,700,3006,27100,23300,325,1296,28400,22500,1
Empire Beauty School-Paradise Valley,Phoenix,AZ,85032,10,1,1,3,4,6,33.602593,-111.976357,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,70,NULL,12407,28128,NULL,NULL,16188,NULL,NULL,16750,8183,NULL,25.86490499,3.039999962,34,88,23400,17800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,36,97,21100,14200,30,73,23500,21700,37,103,23800,20900,3
Empire Beauty School-Tucson,Tucson,AZ,85716,13,1,1,3,4,6,32.235657,-110.927187,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126,124,NULL,12834,27456,NULL,NULL,17260,NULL,NULL,16750,8029,NULL,26.00422489,3.25999999,91,282,22100,18200,111,452,19700,17600,263,121,68,62,185,93,315,20000,16400,112,386,21800,19000,82,262,23200,18200,3
Thunderbird School of Global Management,Glendale,AZ,85306-6000,1,1,4,2,4,6,33.620887,-112.180861,29,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71514,NULL,30.63636364,3.289999962,PrivacySuppressed,85,161500,118900,PrivacySuppressed,105,109300,99600,55,43,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,24,105,108400,77500,30,123,126600,109100,15,51,155200,193400,1
American Indian College Inc,Phoenix,AZ,85021,1,3,3,2,4,6,33.577738,-112.092247,22,11,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,76,NULL,16269,NULL,NULL,23387,NULL,11700,11700,NULL,3313,0.7059,26.53968254,8.369999886,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,14,28,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,32,PrivacySuppressed,PrivacySuppressed,1
American Institute of Technology,Phoenix,AZ,85043-4729,1,1,1,3,4,6,33.442262,-112.175304,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,147,NULL,15727,8340,NULL,NULL,18599,NULL,NULL,9150,7854,NULL,36.67647059,3.980000019,315,744,32400,30800,243,851,29100,27400,496,294,61,19,37,326,912,31900,22200,330,881,31700,29600,217,620,31600,22100,3
Carrington College-Phoenix,Phoenix,AZ,85051-4063,6,1,3,3,4,6,33.560821,-112.115546,10,4,2,0.9904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,617,263,NULL,19454,19310,NULL,NULL,23008,NULL,NULL,14283,13638,NULL,26.67952923,3.980000019,709,2099,27000,25100,896,3736,26000,23300,2393,931,412,520,1234,824,2940,25200,17800,1006,3486,24600,23300,498,1532,28700,23100,2
Carrington College-Mesa,Mesa,AZ,85210,6,1,2,3,4,6,33.39207,-111.855281,10,4,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,718,250,NULL,19490,17901,NULL,NULL,23974,NULL,NULL,14283,14755,NULL,26.67952923,NULL,709,2099,27000,25100,896,3736,26000,23300,2393,931,412,520,1234,824,2940,25200,17800,1006,3486,24600,23300,498,1532,28700,23100,2
Carrington College-Tucson,Tucson,AZ,85745,6,1,2,3,4,6,32.224,-110.982961,10,4,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,424,250,NULL,19295,18351,NULL,NULL,22449,NULL,NULL,14283,13497,NULL,26.67952923,NULL,709,2099,27000,25100,896,3736,26000,23300,2393,931,412,520,1234,824,2940,25200,17800,1006,3486,24600,23300,498,1532,28700,23100,2
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,3,2,3,2,4,6,35.194607,-111.65739,26,10,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176,22,NULL,24472,31720,NULL,28692,NULL,16968,16968,NULL,17541,NULL,28.35923141,6.809999943,PrivacySuppressed,90,25500,24000,81,287,18900,17200,205,60,PrivacySuppressed,65,114,31,142,22700,15900,70,221,22600,21000,9,48,PrivacySuppressed,PrivacySuppressed,1
Arizona Academy of Beauty-East,Tucson,AZ,85712,1,1,1,3,4,6,32.237253,-110.872305,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,29,NULL,17778,18804,NULL,NULL,22175,NULL,NULL,14500,10287,NULL,28.72881356,3.369999886,39,89,19600,16300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,33,97,20600,19900,PrivacySuppressed,86,16400,15900,29,82,20700,14900,3
Arizona Automotive Institute,Glendale,AZ,85301-3579,1,1,1,3,4,6,33.537249,-112.157344,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,628,277,NULL,29392,35009,NULL,NULL,33284,NULL,NULL,19220,17356,NULL,28.79209486,4.960000038,203,760,34500,33500,204,730,24100,21200,470,190,70,190,324,221,914,29900,21700,214,965,32200,30400,149,572,33200,22700,3
Brookline College-Phoenix,Phoenix,AZ,85021,4,1,4,3,4,6,33.525384,-112.15007,22,6,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1357,230,NULL,29295,26264,NULL,NULL,31715,NULL,NULL,85000,16664,NULL,28.68958851,3.980000019,646,1903,23600,22200,479,1545,21200,17900,1283,204,58,182,216,622,1860,21400,15600,651,1815,20800,19000,683,1987,24000,17800,1
Arizona State University-Tempe,Tempe,AZ,85287,5,3,4,1,4,6,33.422247,-111.934629,15,15,15,0.8433,565,580,NULL,25,25,26,NULL,1145,39316,33985,10858,NULL,NULL,NULL,22312,NULL,10157,24503,NULL,12460,0.6546,24.58611455,3.150000095,1674,11808,52100,45100,1179,11442,39400,36100,4023,3450,3969,1548,7724,1300,11181,43300,32000,1428,11907,46600,41100,1420,10635,50400,38300,1
Arizona Western College,Yuma,AZ,85365-8834,1,1,2,1,4,6,32.689306,-114.495968,5,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7218,5214,8978,NULL,NULL,NULL,14247,NULL,2480,8085,NULL,679,0.3534,23.37633008,7.920000076,357,1621,30400,27000,325,1916,24300,20800,1168,689,59,634,1182,330,1678,27600,19900,347,1785,27900,24200,387,1785,28700,21600,2
University of Arizona,Tucson,AZ,85721-0066,1,3,4,1,4,6,32.232071,-110.950769,15,13,15,0.7462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32646,26404,15215,NULL,NULL,NULL,24617,NULL,10957,29421,NULL,12441,0.7025,21.1658363,3.269999981,845,6304,53200,44000,609,5426,38100,33300,1954,1519,1953,900,4103,642,5756,43500,32700,677,5819,46200,39100,742,5902,49200,40100,1
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,2,3,4,3,4,6,32.252384,-110.927321,30,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,161,350,NULL,41525,NULL,NULL,44388,NULL,23069,23069,NULL,19099,0.9048,24.49242424,3.359999895,104,379,30900,27200,52,246,22600,22000,124,64,58,33,124,88,322,29000,37900,75,280,27900,25900,75,349,27500,18400,1
Central Arizona College,Coolidge,AZ,85128-9030,1,2,2,1,4,6,32.957092,-111.652501,6,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5275,4536,5211,NULL,NULL,NULL,10163,NULL,2400,10440,NULL,1192,0.2363,27.053125,4.300000191,281,908,31100,27500,173,854,27200,23900,516,288,50,205,400,293,965,28900,20700,351,1126,27800,24100,276,924,30400,20400,2
Brown Mackie College-Tucson,Tucson,AZ,85712,33,2,3,3,4,6,32.236736,-110.895086,23,11,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,611,339,NULL,19765,NULL,NULL,24379,NULL,13203,13203,NULL,10380,0.5491,28.48027096,3.690000057,85,421,30300,27400,186,1184,30300,27700,534,369,281,70,645,84,317,29200,26000,86,381,29000,27200,87,352,29900,20100,1
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,1,1,1,3,4,6,34.475275,-114.328134,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,30,NULL,10147,15876,NULL,NULL,13803,NULL,NULL,11100,8454,NULL,27.30612245,3.230000019,31,61,18600,14500,36,93,17800,14900,66,PrivacySuppressed,PrivacySuppressed,12,30,24,63,15400,13900,36,71,16100,13500,31,69,20000,17700,3
Cochise County Community College District,Douglas,AZ,85607-6190,1,2,2,1,4,6,31.365757,-109.690422,9,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3759,4966,5572,NULL,NULL,NULL,10243,NULL,1800,6000,NULL,744,0.4382,24.8651333,3.380000114,424,1300,34300,28600,254,895,26000,21600,612,246,37,293,427,398,1286,30300,25600,353,1261,29700,25300,364,1228,36200,29800,2
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,14,1,1,3,4,6,35.197151,-111.625936,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,11,NULL,13252,28116,NULL,NULL,17489,NULL,NULL,16750,8056,NULL,25.91153142,2.960000038,94,249,24300,17800,105,334,19500,16000,191,87,56,49,113,78,310,20500,17300,114,350,21200,17500,82,189,20700,17400,3
Empire Beauty School-Chandler,Chandler,AZ,85224,14,1,1,3,4,6,33.347586,-111.860423,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,38,NULL,12266,29304,NULL,NULL,16811,NULL,NULL,17422,8320,NULL,25.91153142,2.960000038,94,249,24300,17800,105,334,19500,16000,191,87,56,49,113,78,310,20500,17300,114,350,21200,17500,82,189,20700,17400,3
Cortiva Institute-Tucson,Tucson,AZ,85710,1,1,1,3,4,6,32.21901,-110.856785,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130,158,NULL,19592,22626,NULL,NULL,21692,NULL,NULL,11194,7758,NULL,29.66467066,3.200000048,43,168,25000,20000,PrivacySuppressed,128,22700,21600,73,35,PrivacySuppressed,12,36,39,153,24100,19000,33,123,26300,21600,34,164,27400,28200,3
Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,3,1,1,3,4,6,33.376583,-111.858305,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,360,102,NULL,12008,27456,NULL,NULL,15723,NULL,NULL,16000,7516,NULL,24.60136869,2.940000057,42,90,23400,19600,49,160,18500,16300,84,43,33,15,58,39,119,20900,15500,61,171,20000,16100,42,113,21400,16700,3
Eastern Arizona College,Thatcher,AZ,85552-0769,1,1,2,1,4,6,32.840719,-109.761664,8,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4634,6223,6611,NULL,NULL,NULL,11640,NULL,2000,9200,NULL,752,0.3564,23.97520661,6.050000191,266,774,33800,28700,262,667,26500,22400,466,200,PrivacySuppressed,193,321,230,715,27700,21200,249,691,30900,25400,320,817,31500,24600,2
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,2,3,4,2,4,6,34.615678,-112.452285,22,14,10,0.8016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1971,1971,NULL,30002,NULL,NULL,46174,NULL,31648,31648,NULL,26607,0.8259,25.86175363,3.200000048,270,3249,65700,61500,180,2553,49700,44400,715,751,1087,231,1653,214,2847,54700,33800,224,2974,59300,54800,259,3018,61400,34900,1
Glendale Community College,Glendale,AZ,85302,1,1,2,1,4,6,33.567483,-112.188334,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16156,20091,7600,NULL,NULL,NULL,11822,NULL,2046,7830,NULL,1489,0.3433,25.28577257,3.49000001,784,3316,36900,33600,533,2795,29900,27400,1594,926,275,664,1411,782,3517,33200,22900,763,3564,33600,30800,693,2719,36500,25200,2
Grand Canyon University,Phoenix,AZ,85017,1,3,4,3,4,6,33.512172,-112.129917,17,5,15,0.5757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38905,1563,NULL,28039,NULL,NULL,30945,NULL,17050,17050,NULL,10550,0.1552,31.50031515,3.5,89,615,50800,44500,435,2463,43100,35500,808,786,869,36,276,58,640,50500,33100,111,897,51800,47100,80,548,51100,35800,1
International Academy of Hair Design,Tempe,AZ,85282-6730,1,1,1,3,4,6,33.38145,-111.940071,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,188,117,NULL,15073,24744,NULL,NULL,18717,NULL,NULL,15495,9428,NULL,27.28125,2.970000029,38,78,25000,22200,37,134,19600,15600,60,39,35,PrivacySuppressed,65,36,116,21100,16500,39,98,22100,16800,21,65,23000,16600,3
GateWay Community College,Phoenix,AZ,85034,2,1,2,1,4,6,33.4495,-111.996527,9,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5211,7895,8019,NULL,NULL,NULL,12818,NULL,2046,7830,NULL,2394,0.1742,29.24889868,3.910000086,653,1894,34500,29800,280,1318,34600,30000,792,414,112,191,307,590,1925,33700,24100,549,1797,33700,30400,545,1500,34500,26200,2
Mesa Community College,Mesa,AZ,85202,1,1,2,1,4,6,33.391256,-111.871494,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19055,22821,8494,NULL,NULL,NULL,12575,NULL,2046,7830,NULL,1957,0.2985,25.99302903,3.150000095,922,3963,40100,35200,741,3702,30500,27500,1995,1191,516,754,1812,980,4497,34500,27600,1075,4880,35600,31800,717,3268,38900,28700,2
ITT Technical Institute-Tucson,Tucson,AZ,85704-5829,142,2,3,3,4,6,32.297261,-110.997501,28,6,6,0.9358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,400,224,NULL,24023,NULL,NULL,27071,NULL,18048,18048,NULL,19470,0.7813,30.39691401,3.799999952,558,3478,42800,38800,846,4736,33100,29300,2414,1516,806,513,1759,558,3748,36700,25200,658,4048,38300,33900,551,3285,40000,27000,1
ITT Technical Institute-Tempe,Tempe,AZ,85282,142,2,3,3,4,6,33.380355,-111.969169,28,6,6,0.9191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,445,330,NULL,23899,NULL,NULL,27722,NULL,18048,18048,NULL,19621,0.8636,30.39691401,3.960000038,558,3478,42800,38800,846,4736,33100,29300,2414,1516,806,513,1759,558,3748,36700,25200,658,4048,38300,33900,551,3285,40000,27000,1
